Product,Volume,Normal Price,Sale Price
P2000 | Pulse (Field-Tested),398,$0.16 USD,$0.15 USD
StatTrak™ AUG | Torque (Battle-Scarred),16,$4.10 USD,$3.93 USD
StatTrak™ MAC-10 | Tatter (Well-Worn),19,$4.32 USD,$4.14 USD
MAC-10 | Curse (Well-Worn),7,$4.40 USD,$4.21 USD
StatTrak™ MAC-10 | Tatter (Battle-Scarred),12,$4.50 USD,$4.31 USD
StatTrak™ XM1014 | Heaven Guard (Minimal Wear),42,$4.56 USD,$4.37 USD
StatTrak™ PP-Bizon | Antique (Minimal Wear),40,$4.56 USD,$4.37 USD
P90 | Desert Warfare (Field-Tested),39,$4.83 USD,$4.62 USD
StatTrak™ MAC-10 | Tatter (Minimal Wear),20,$4.80 USD,$4.60 USD
SCAR-20 | Cyrex (Field-Tested),59,$4.83 USD,$4.62 USD
CZ75-Auto | Poison Dart (Battle-Scarred),38,$5.10 USD,$4.88 USD
MAC-10 | Curse (Factory New),30,$5.22 USD,$5.00 USD
StatTrak™ AUG | Torque (Minimal Wear),85,$5.25 USD,$5.03 USD
StatTrak™ P90 | Desert Warfare (Factory New),44,$5.26 USD,$5.04 USD
M4A4 | Desert-Strike (Field-Tested),98,$5.41 USD,$5.18 USD
StatTrak™ MAC-10 | Curse (Field-Tested),17,$5.56 USD,$5.32 USD
StatTrak™ MAC-10 | Tatter (Factory New),34,$5.58 USD,$5.34 USD
SCAR-20 | Cyrex (Well-Worn),10,$5.67 USD,$5.43 USD
MAC-10 | Curse (Battle-Scarred),14,$5.68 USD,$5.44 USD
M4A4 | Desert-Strike (Battle-Scarred),33,$5.69 USD,$5.45 USD
USP-S | Caiman (Field-Tested),54,$5.72 USD,$5.48 USD
StatTrak™ MAC-10 | Curse (Minimal Wear),25,$6.15 USD,$5.89 USD
SCAR-20 | Cyrex (Battle-Scarred),15,$6.27 USD,$6.00 USD
StatTrak™ PP-Bizon | Antique (Factory New),57,$6.30 USD,$6.03 USD
M4A1-S | Atomic Alloy (Minimal Wear),379,$6.40 USD,$6.13 USD
StatTrak™ CZ75-Auto | Poison Dart (Well-Worn),21,$6.45 USD,$6.17 USD
StatTrak™ MAC-10 | Curse (Battle-Scarred),12,$6.69 USD,$6.40 USD
SCAR-20 | Cyrex (Minimal Wear),37,$6.87 USD,$6.58 USD
M4A4 | Desert-Strike (Minimal Wear),50,$6.90 USD,$6.60 USD
M4A4 | Desert-Strike (Well-Worn),14,$7.21 USD,$6.90 USD
USP-S | Caiman (Minimal Wear),43,$7.66 USD,$7.33 USD
StatTrak™ CZ75-Auto | Poison Dart (Factory New),29,$7.66 USD,$7.33 USD
StatTrak™ Tec-9 | Isaac (Factory New),56,$8.48 USD,$8.12 USD
StatTrak™ AUG | Torque (Factory New),106,$8.75 USD,$8.37 USD
StatTrak™ XM1014 | Heaven Guard (Factory New),25,$8.77 USD,$8.39 USD
USP-S | Caiman (Well-Worn),11,$9.25 USD,$8.85 USD
StatTrak™ M4A1-S | Atomic Alloy (Well-Worn),30,$9.25 USD,$8.85 USD
StatTrak™ SCAR-20 | Cyrex (Battle-Scarred),11,$9.46 USD,$9.05 USD
SCAR-20 | Cyrex (Factory New),55,$9.90 USD,$9.47 USD
StatTrak™ M4A1-S | Atomic Alloy (Battle-Scarred),30,$9.93 USD,$9.50 USD
StatTrak™ SCAR-20 | Cyrex (Well-Worn),11,$10.00 USD,$9.57 USD
USP-S | Caiman (Factory New),78,$10.08 USD,$9.65 USD
StatTrak™ MAC-10 | Curse (Well-Worn),13,$10.25 USD,$9.81 USD
M4A4 | Desert-Strike (Factory New),124,$10.53 USD,$10.08 USD
StatTrak™ SCAR-20 | Cyrex (Field-Tested),16,$11.70 USD,$11.20 USD
StatTrak™ M4A1-S | Atomic Alloy (Field-Tested),114,$11.79 USD,$11.28 USD
M4A1-S | Atomic Alloy (Factory New),84,$12.55 USD,$12.01 USD
USP-S | Orion (Minimal Wear),116,$13.16 USD,$12.59 USD
USP-S | Orion (Field-Tested),31,$13.41 USD,$12.83 USD
StatTrak™ USP-S | Caiman (Field-Tested),13,$14.16 USD,$13.55 USD
StatTrak™ M4A4 | Desert-Strike (Battle-Scarred),10,$14.45 USD,$13.83 USD
StatTrak™ MAC-10 | Curse (Factory New),20,$17.71 USD,$16.94 USD
StatTrak™ USP-S | Caiman (Well-Worn),3,$17.83 USD,$17.06 USD
StatTrak™ M4A4 | Desert-Strike (Well-Worn),8,$18.95 USD,$18.13 USD
USP-S | Orion (Factory New),133,$19.37 USD,$18.53 USD
StatTrak™ M4A1-S | Atomic Alloy (Minimal Wear),50,$19.62 USD,$18.77 USD
StatTrak™ SCAR-20 | Cyrex (Minimal Wear),8,$21.58 USD,$20.65 USD
USP-S | Orion (Well-Worn),7,$21.70 USD,$20.76 USD
StatTrak™ M4A4 | Desert-Strike (Minimal Wear),22,$23.55 USD,$22.53 USD
StatTrak™ USP-S | Caiman (Minimal Wear),19,$25.26 USD,$24.17 USD
AK-47 | Vulcan (Battle-Scarred),31,$25.64 USD,$24.53 USD
StatTrak™ M4A4 | Desert-Strike (Field-Tested),9,$26.99 USD,$25.82 USD
AK-47 | Vulcan (Well-Worn),29,$35.62 USD,$34.08 USD
StatTrak™ M4A4 | Desert-Strike (Factory New),18,$37.00 USD,$35.40 USD
StatTrak™ SCAR-20 | Cyrex (Factory New),16,$39.92 USD,$38.19 USD
StatTrak™ USP-S | Caiman (Factory New),21,$39.98 USD,$38.25 USD
StatTrak™ M4A1-S | Atomic Alloy (Factory New),29,$41.01 USD,$39.23 USD
AK-47 | Vulcan (Field-Tested),109,$44.25 USD,$42.33 USD
StatTrak™ USP-S | Orion (Field-Tested),8,$48.19 USD,$46.10 USD
StatTrak™ USP-S | Orion (Minimal Wear),12,$56.06 USD,$53.63 USD
USP-S | Orion (Battle-Scarred),4,$57.50 USD,$55.00 USD
StatTrak™ AK-47 | Vulcan (Battle-Scarred),4,$59.80 USD,$57.20 USD
StatTrak™ USP-S | Orion (Well-Worn),3,$66.05 USD,$63.18 USD
AK-47 | Vulcan (Minimal Wear),82,$81.27 USD,$77.74 USD
StatTrak™ USP-S | Orion (Factory New),22,$82.49 USD,$78.91 USD
StatTrak™ AK-47 | Vulcan (Well-Worn),4,$86.17 USD,$82.43 USD
