Product,Skin,Normal Price,Sale Price
AWP,Worm God (Well-Worn),$2.24 USD,$2.15 USD
Galil AR,Eco (Battle-Scarred),$2.24 USD,$2.15 USD
Galil AR,Eco (Well-Worn),$2.30 USD,$2.20 USD
StatTrak™ Desert Eagle,Bronze Deco (Battle-Scarred),$2.39 USD,$2.29 USD
StatTrak™ Desert Eagle,Bronze Deco (Minimal Wear),$2.42 USD,$2.32 USD
AWP,Worm God (Factory New),$2.70 USD,$2.59 USD
FAMAS,Djinn (Minimal Wear),$2.83 USD,$2.71 USD
AK-47,Elite Build (Minimal Wear),$3.00 USD,$2.87 USD
MAG-7,Heat (Factory New),$3.04 USD,$2.91 USD
StatTrak™ P250,Valence (Factory New),$3.05 USD,$2.92 USD
Galil AR,Eco (Field-Tested),$3.29 USD,$3.15 USD
StatTrak™ MAG-7,Heat (Minimal Wear),$3.58 USD,$3.43 USD
StatTrak™ Desert Eagle,Bronze Deco (Factory New),$3.71 USD,$3.55 USD
StatTrak™ FAMAS,Djinn (Battle-Scarred),$4.07 USD,$3.90 USD
StatTrak™ Galil AR,Eco (Battle-Scarred),$4.28 USD,$4.10 USD
StatTrak™ CZ75-Auto,Pole Position (Factory New),$4.40 USD,$4.21 USD
StatTrak™ Five-SeveN,Monkey Business (Battle-Scarred),$4.41 USD,$4.22 USD
StatTrak™ FAMAS,Djinn (Well-Worn),$4.48 USD,$4.29 USD
StatTrak™ FAMAS,Djinn (Field-Tested),$4.64 USD,$4.44 USD
StatTrak™ Five-SeveN,Monkey Business (Well-Worn),$4.88 USD,$4.67 USD
StatTrak™ AK-47,Elite Build (Battle-Scarred),$5.34 USD,$5.11 USD
StatTrak™ AK-47,Elite Build (Well-Worn),$5.37 USD,$5.14 USD
StatTrak™ Five-SeveN,Monkey Business (Field-Tested),$5.43 USD,$5.20 USD
StatTrak™ Galil AR,Eco (Well-Worn),$5.78 USD,$5.53 USD
StatTrak™ AWP,Worm God (Field-Tested),$6.04 USD,$5.78 USD
StatTrak™ AWP,Worm God (Minimal Wear),$6.27 USD,$6.00 USD
StatTrak™ AK-47,Elite Build (Field-Tested),$6.64 USD,$6.36 USD
FAMAS,Djinn (Factory New),$6.94 USD,$6.64 USD
StatTrak™ AWP,Worm God (Well-Worn),$6.94 USD,$6.64 USD
AK-47,Elite Build (Factory New),$6.98 USD,$6.68 USD
MAC-10,Neon Rider (Field-Tested),$6.98 USD,$6.68 USD
MAC-10,Neon Rider (Well-Worn),$7.05 USD,$6.75 USD
StatTrak™ Galil AR,Eco (Field-Tested),$7.79 USD,$7.46 USD
StatTrak™ AWP,Worm God (Factory New),$8.23 USD,$7.88 USD
MAC-10,Neon Rider (Minimal Wear),$8.32 USD,$7.96 USD
M4A1-S,Hyper Beast (Battle-Scarred),$8.42 USD,$8.06 USD
StatTrak™ FAMAS,Djinn (Minimal Wear),$8.81 USD,$8.43 USD
M4A1-S,Hyper Beast (Well-Worn),$8.98 USD,$8.59 USD
Five-SeveN,Monkey Business (Minimal Wear),$9.02 USD,$8.63 USD
StatTrak™ AK-47,Elite Build (Minimal Wear),$9.17 USD,$8.78 USD
M4A1-S,Hyper Beast (Field-Tested),$9.68 USD,$9.26 USD
MAC-10,Neon Rider (Factory New),$13.38 USD,$12.80 USD
StatTrak™ MAG-7,Heat (Factory New),$13.87 USD,$13.27 USD
Galil AR,Eco (Minimal Wear),$16.40 USD,$15.69 USD
StatTrak™ MAC-10,Neon Rider (Field-Tested),$16.63 USD,$15.91 USD
StatTrak™ MAC-10,Neon Rider (Well-Worn),$19.26 USD,$18.43 USD
M4A1-S,Hyper Beast (Minimal Wear),$19.96 USD,$19.10 USD
StatTrak™ M4A1-S,Hyper Beast (Battle-Scarred),$20.70 USD,$19.80 USD
StatTrak™ AK-47,Elite Build (Factory New),$24.96 USD,$23.88 USD
StatTrak™ M4A1-S,Hyper Beast (Well-Worn),$25.04 USD,$23.96 USD
StatTrak™ FAMAS,Djinn (Factory New),$26.56 USD,$25.41 USD
StatTrak™ MAC-10,Neon Rider (Minimal Wear),$27.26 USD,$26.08 USD
StatTrak™ Five-SeveN,Monkey Business (Minimal Wear),$33.42 USD,$31.97 USD
StatTrak™ M4A1-S,Hyper Beast (Field-Tested),$36.51 USD,$34.93 USD
StatTrak™ MAC-10,Neon Rider (Factory New),$51.75 USD,$49.50 USD
M4A1-S,Hyper Beast (Factory New),$59.99 USD,$57.39 USD
StatTrak™ Galil AR,Eco (Minimal Wear),$63.40 USD,$60.65 USD
StatTrak™ M4A1-S,Hyper Beast (Minimal Wear),$64.31 USD,$61.52 USD
StatTrak™ M4A1-S,Hyper Beast (Factory New),$259.30 USD,$248.03 USD
