Gun,Skin,Wear,Grade,Volume,Normal Price,Sale Price,,,,,,,,
StatTrak™ FAMAS,Pulse,Well-Worn,StatTrak™Restricted,11,$6.24,$5.97,,,,,,,,
StatTrak™ FAMAS,Pulse,Field-Tested,StatTrak™Restricted,83,$5.81,$5.56,,,,,,,,
StatTrak™ FAMAS,Pulse,Minimal Wear,StatTrak™Restricted,58,$7.71,$7.38,,,,,,,,
StatTrak™ FAMAS,Pulse,Factory New,StatTrak™Restricted,83,$9.61,$9.20,,,,,,,,
StatTrak™ MP9,Rose Iron,Field-Tested,StatTrak™Restricted,24,$7.15,$6.84,,,,,,,,
StatTrak™ MP9,Rose Iron,Minimal Wear,StatTrak™Restricted,44,$8.88,$8.50,,,,,,,,
StatTrak™ MP9,Rose Iron,Factory New,StatTrak™Restricted,54,$14.10,$13.49,,,,,,,,
StatTrak™ Nova,Rising Skull,Battle-Scarred,StatTrak™Restricted,9,$4.30,$4.12,,,,,,,,
StatTrak™ Nova,Rising Skull,Well-Worn,StatTrak™Restricted,12,$3.70,$3.54,,,,,,,,
StatTrak™ Nova,Rising Skull,Field-Tested,StatTrak™Restricted,30,$4.80,$4.60,,,,,,,,
StatTrak™ Nova,Rising Skull,Minimal Wear,StatTrak™Restricted,32,$4.46,$4.27,,,,,,,,
StatTrak™ Nova,Rising Skull,Factory New,StatTrak™Restricted,31,$8.85,$8.47,,,,,,,,
StatTrak™ AWP,Redline,Well-Worn,StatTrak™Classified,13,$73.02,$69.85,,,,,,,,
StatTrak™ AWP,Redline,Field-Tested,StatTrak™Classified,84,$44.27,$42.35,,,,,,,,
StatTrak™ AWP,Redline,Minimal Wear,StatTrak™Classified,32,$92.55,$88.53,,,,,,,,
StatTrak™ M4A1-S,Guardian,Battle-Scarred,StatTrak™Classified,21,$21.34,$20.42,,,,,,,,
StatTrak™ M4A1-S,Guardian,Well-Worn,StatTrak™Classified,36,$16.10,$15.40,,,,,,,,
StatTrak™ M4A1-S,Guardian,Field-Tested,StatTrak™Classified,53,$18.17,$17.38,,,,,,,,
StatTrak™ M4A1-S,Guardian,Minimal Wear,StatTrak™Classified,45,$22.00,$21.05,,,,,,,,
StatTrak™ M4A1-S,Guardian,Factory New,StatTrak™Classified,37,$36.04,$34.48,,,,,,,,
StatTrak™ P250,Mehndi,Battle-Scarred,StatTrak™Classified,17,$11.01,$10.54,,,,,,,,
StatTrak™ P250,Mehndi,Well-Worn,StatTrak™Classified,25,$11.36,$10.87,,,,,,,,
StatTrak™ P250,Mehndi,Field-Tested,StatTrak™Classified,25,$15.35,$14.69,,,,,,,,
StatTrak™ P250,Mehndi,Minimal Wear,StatTrak™Classified,25,$20.64,$19.75,,,,,,,,
StatTrak™ P250,Mehndi,Factory New,StatTrak™Classified,11,$46.49,$44.47,,,,,,,,
StatTrak™ M4A4,Asiimov,Battle-Scarred,StatTrak™Covert,13,$98.45,$94.17,,,,,,,,
StatTrak™ M4A4,Asiimov,Well-Worn,StatTrak™Covert,5,$209.82,$200.70,,,,,,,,
StatTrak™ M4A4,Asiimov,Field-Tested,StatTrak™Covert,9,$305.76,$292.47,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Well-Worn,StatTrak™Covert,2,$40.73,$38.96,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Field-Tested,StatTrak™Covert,14,$13.06,$12.50,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Minimal Wear,StatTrak™Covert,9,$18.37,$17.58,,,,,,,,
StatTrak™ Sawed-Off,The Kraken,Factory New,StatTrak™Covert,12,$45.78,$43.79,,,,,,,,
