2,['Caitlyn', 'Malphite', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Rebel', 1],['Brawler', 2],,,,
1,['Caitlyn', 'KhaZix', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Void', 1],['Infiltrator', 1],['Brawler', 1],,
1,['Caitlyn', 'KhaZix', 'KaiSa'],['Chrono', 1],['Sniper', 1],['Void', 1],['Infiltrator', 2],['Valkyrie', 1],,
1,['Caitlyn', 'KhaZix', 'Shen'],['Chrono', 2],['Sniper', 1],['Void', 1],['Infiltrator', 1],['Blademaster', 1],,
1,['Caitlyn', 'Leona', 'Poppy'],['Chrono', 1],['Sniper', 1],['Cybernetic', 1],['Vanguard', 2],['Star-Guardian', 1],,
1,['Caitlyn', 'Leona', 'Twisted-Fate'],['Chrono', 2],['Sniper', 1],['Cybernetic', 1],['Vanguard', 1],['Sorcerer', 1],,
1,['Caitlyn', 'Leona', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Cybernetic', 1],['Vanguard', 1],['Brawler', 1],,
1,['Caitlyn', 'Leona', 'Mordekaiser'],['Chrono', 1],['Sniper', 1],['Cybernetic', 1],['Vanguard', 2],['Dark-Star', 1],,
1,['Caitlyn', 'Leona', 'Shen'],['Chrono', 2],['Sniper', 1],['Cybernetic', 1],['Vanguard', 1],['Blademaster', 1],,
1,['Caitlyn', 'Malphite', 'Twisted-Fate'],['Chrono', 2],['Sniper', 1],['Rebel', 1],['Brawler', 1],['Sorcerer', 1],,
1,['Caitlyn', 'Malphite', 'Shen'],['Chrono', 2],['Sniper', 1],['Rebel', 1],['Brawler', 1],['Blademaster', 1],,
1,['Caitlyn', 'Poppy', 'Twisted-Fate'],['Chrono', 2],['Sniper', 1],['Star-Guardian', 1],['Vanguard', 1],['Sorcerer', 1],,
1,['Caitlyn', 'Poppy', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Star-Guardian', 1],['Vanguard', 1],['Brawler', 1],,
1,['Caitlyn', 'Poppy', 'Mordekaiser'],['Chrono', 1],['Sniper', 1],['Star-Guardian', 1],['Vanguard', 2],['Dark-Star', 1],,
1,['Caitlyn', 'Poppy', 'Shen'],['Chrono', 2],['Sniper', 1],['Star-Guardian', 1],['Vanguard', 1],['Blademaster', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Xayah'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Celestial', 1],['Blademaster', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Ziggs'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Rebel', 1],['Demolitionist', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Blitzcrank'],['Chrono', 3],['Sniper', 1],['Sorcerer', 1],['Brawler', 1],,,,
1,['Caitlyn', 'Twisted-Fate', 'Darius'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Space-Pirate', 1],['Mana-Reaver', 1],,
1,['Caitlyn', 'Twisted-Fate', 'KaiSa'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Valkyrie', 1],['Infiltrator', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Lucian'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Cybernetic', 1],['Blaster', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Mordekaiser'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Dark-Star', 1],['Vanguard', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Rakan'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Celestial', 1],['Protector', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Shen'],['Chrono', 3],['Sniper', 1],['Sorcerer', 1],['Blademaster', 1],,,,
1,['Caitlyn', 'Twisted-Fate', 'Sona'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Rebel', 1],['Mystic', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Xin-Zhao'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Celestial', 1],['Protector', 1],,
1,['Caitlyn', 'Twisted-Fate', 'Yasuo'],['Chrono', 2],['Sniper', 1],['Sorcerer', 1],['Rebel', 1],['Blademaster', 1],,
1,['Caitlyn', 'Xayah', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Celestial', 1],['Blademaster', 1],['Brawler', 1],,
1,['Caitlyn', 'Xayah', 'Rakan'],['Chrono', 1],['Sniper', 1],['Celestial', 2],['Blademaster', 1],['Protector', 1],,
1,['Caitlyn', 'Xayah', 'Shen'],['Chrono', 2],['Sniper', 1],['Celestial', 1],['Blademaster', 2],,,,
1,['Caitlyn', 'Xayah', 'Xin-Zhao'],['Chrono', 1],['Sniper', 1],['Celestial', 2],['Blademaster', 1],['Protector', 1],,
1,['Caitlyn', 'Ziggs', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Rebel', 1],['Demolitionist', 1],['Brawler', 1],,
1,['Caitlyn', 'Ziggs', 'Shen'],['Chrono', 2],['Sniper', 1],['Rebel', 1],['Demolitionist', 1],['Blademaster', 1],,
1,['Caitlyn', 'Zoe', 'Ahri'],['Chrono', 1],['Sniper', 1],['Star-Guardian', 2],['Sorcerer', 2],,,,
1,['Caitlyn', 'Zoe', 'Annie'],['Chrono', 1],['Sniper', 1],['Star-Guardian', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Caitlyn', 'Zoe', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Star-Guardian', 1],['Sorcerer', 1],['Brawler', 1],,
1,['Caitlyn', 'Zoe', 'Shen'],['Chrono', 2],['Sniper', 1],['Star-Guardian', 1],['Sorcerer', 1],['Blademaster', 1],,
1,['Caitlyn', 'Ahri', 'Annie'],['Chrono', 1],['Sniper', 1],['Star-Guardian', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Caitlyn', 'Ahri', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Star-Guardian', 1],['Sorcerer', 1],['Brawler', 1],,
1,['Caitlyn', 'Ahri', 'Shen'],['Chrono', 2],['Sniper', 1],['Star-Guardian', 1],['Sorcerer', 1],['Blademaster', 1],,
1,['Caitlyn', 'Annie', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Mech-Pilot', 1],['Sorcerer', 1],['Brawler', 1],,
1,['Caitlyn', 'Annie', 'Shen'],['Chrono', 2],['Sniper', 1],['Mech-Pilot', 1],['Sorcerer', 1],['Blademaster', 1],,
1,['Caitlyn', 'Blitzcrank', 'Darius'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Space-Pirate', 1],['Mana-Reaver', 1],,
1,['Caitlyn', 'Blitzcrank', 'KaiSa'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Valkyrie', 1],['Infiltrator', 1],,
1,['Caitlyn', 'Blitzcrank', 'Lucian'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Cybernetic', 1],['Blaster', 1],,
1,['Caitlyn', 'Blitzcrank', 'Mordekaiser'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Dark-Star', 1],['Vanguard', 1],,
1,['Caitlyn', 'Blitzcrank', 'Rakan'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Celestial', 1],['Protector', 1],,
1,['Caitlyn', 'Blitzcrank', 'Shen'],['Chrono', 3],['Sniper', 1],['Brawler', 1],['Blademaster', 1],,,,
1,['Caitlyn', 'Blitzcrank', 'Sona'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Rebel', 1],['Mystic', 1],,
1,['Caitlyn', 'Blitzcrank', 'Xin-Zhao'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Celestial', 1],['Protector', 1],,
1,['Caitlyn', 'Blitzcrank', 'Yasuo'],['Chrono', 2],['Sniper', 1],['Brawler', 1],['Rebel', 1],['Blademaster', 1],,
1,['Caitlyn', 'Darius', 'Shen'],['Chrono', 2],['Sniper', 1],['Space-Pirate', 1],['Mana-Reaver', 1],['Blademaster', 1],,
1,['Caitlyn', 'KaiSa', 'Shen'],['Chrono', 2],['Sniper', 1],['Valkyrie', 1],['Infiltrator', 1],['Blademaster', 1],,
1,['Caitlyn', 'Lucian', 'Shen'],['Chrono', 2],['Sniper', 1],['Cybernetic', 1],['Blaster', 1],['Blademaster', 1],,
1,['Caitlyn', 'Mordekaiser', 'Shen'],['Chrono', 2],['Sniper', 1],['Dark-Star', 1],['Vanguard', 1],['Blademaster', 1],,
1,['Caitlyn', 'Rakan', 'Shen'],['Chrono', 2],['Sniper', 1],['Celestial', 1],['Protector', 1],['Blademaster', 1],,
1,['Caitlyn', 'Shen', 'Sona'],['Chrono', 2],['Sniper', 1],['Blademaster', 1],['Rebel', 1],['Mystic', 1],,
1,['Caitlyn', 'Shen', 'Xin-Zhao'],['Chrono', 2],['Sniper', 1],['Blademaster', 1],['Celestial', 1],['Protector', 1],,
1,['Caitlyn', 'Shen', 'Yasuo'],['Chrono', 2],['Sniper', 1],['Blademaster', 2],['Rebel', 1],,,,
1,['Fiora', 'Graves', 'Darius'],['Cybernetic', 1],['Blademaster', 1],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],,
1,['Fiora', 'Graves', 'Lucian'],['Cybernetic', 2],['Blademaster', 1],['Space-Pirate', 1],['Blaster', 2],,,,
1,['Fiora', 'Jarvan-IV', 'Rakan'],['Cybernetic', 1],['Blademaster', 1],['Dark-Star', 1],['Protector', 2],['Celestial', 1],,
1,['Fiora', 'Jarvan-IV', 'Xin-Zhao'],['Cybernetic', 1],['Blademaster', 1],['Dark-Star', 1],['Protector', 2],['Celestial', 1],,
1,['Fiora', 'KhaZix', 'KaiSa'],['Cybernetic', 1],['Blademaster', 1],['Void', 1],['Infiltrator', 2],['Valkyrie', 1],,
1,['Fiora', 'Leona', 'Poppy'],['Cybernetic', 2],['Blademaster', 1],['Vanguard', 2],['Star-Guardian', 1],,,,
1,['Fiora', 'Leona', 'Lucian'],['Cybernetic', 3],['Blademaster', 1],['Vanguard', 1],['Blaster', 1],,,,
1,['Fiora', 'Leona', 'Mordekaiser'],['Cybernetic', 2],['Blademaster', 1],['Vanguard', 2],['Dark-Star', 1],,,,
1,['Fiora', 'Malphite', 'Blitzcrank'],['Cybernetic', 1],['Blademaster', 1],['Rebel', 1],['Brawler', 2],['Chrono', 1],,
1,['Fiora', 'Poppy', 'Mordekaiser'],['Cybernetic', 1],['Blademaster', 1],['Star-Guardian', 1],['Vanguard', 2],['Dark-Star', 1],,
1,['Fiora', 'Twisted-Fate', 'Zoe'],['Cybernetic', 1],['Blademaster', 1],['Chrono', 1],['Sorcerer', 2],['Star-Guardian', 1],,
1,['Fiora', 'Twisted-Fate', 'Ahri'],['Cybernetic', 1],['Blademaster', 1],['Chrono', 1],['Sorcerer', 2],['Star-Guardian', 1],,
1,['Fiora', 'Twisted-Fate', 'Annie'],['Cybernetic', 1],['Blademaster', 1],['Chrono', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Fiora', 'Twisted-Fate', 'Blitzcrank'],['Cybernetic', 1],['Blademaster', 1],['Chrono', 2],['Sorcerer', 1],['Brawler', 1],,
1,['Fiora', 'Twisted-Fate', 'Shen'],['Cybernetic', 1],['Blademaster', 2],['Chrono', 2],['Sorcerer', 1],,,,
1,['Fiora', 'Xayah', 'Rakan'],['Cybernetic', 1],['Blademaster', 2],['Celestial', 2],['Protector', 1],,,,
1,['Fiora', 'Xayah', 'Shen'],['Cybernetic', 1],['Blademaster', 3],['Celestial', 1],['Chrono', 1],,,,
1,['Fiora', 'Xayah', 'Xin-Zhao'],['Cybernetic', 1],['Blademaster', 2],['Celestial', 2],['Protector', 1],,,,
1,['Fiora', 'Xayah', 'Yasuo'],['Cybernetic', 1],['Blademaster', 3],['Celestial', 1],['Rebel', 1],,,,
1,['Fiora', 'Zoe', 'Ahri'],['Cybernetic', 1],['Blademaster', 1],['Star-Guardian', 2],['Sorcerer', 2],,,,
1,['Fiora', 'Zoe', 'Annie'],['Cybernetic', 1],['Blademaster', 1],['Star-Guardian', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Fiora', 'Ahri', 'Annie'],['Cybernetic', 1],['Blademaster', 1],['Star-Guardian', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Fiora', 'Blitzcrank', 'Shen'],['Cybernetic', 1],['Blademaster', 2],['Chrono', 2],['Brawler', 1],,,,
1,['Fiora', 'Shen', 'Yasuo'],['Cybernetic', 1],['Blademaster', 3],['Chrono', 1],['Rebel', 1],,,,
1,['Graves', 'Jarvan-IV', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Dark-Star', 1],['Protector', 1],['Mana-Reaver', 1],,
1,['Graves', 'Jarvan-IV', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Dark-Star', 1],['Protector', 1],['Cybernetic', 1],,
1,['Graves', 'Jarvan-IV', 'Rakan'],['Space-Pirate', 1],['Blaster', 1],['Dark-Star', 1],['Protector', 2],['Celestial', 1],,
1,['Graves', 'Jarvan-IV', 'Xin-Zhao'],['Space-Pirate', 1],['Blaster', 1],['Dark-Star', 1],['Protector', 2],['Celestial', 1],,
1,['Graves', 'KhaZix', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Void', 1],['Infiltrator', 1],['Mana-Reaver', 1],,
1,['Graves', 'KhaZix', 'KaiSa'],['Space-Pirate', 1],['Blaster', 1],['Void', 1],['Infiltrator', 2],['Valkyrie', 1],,
1,['Graves', 'KhaZix', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Void', 1],['Infiltrator', 1],['Cybernetic', 1],,
1,['Graves', 'Leona', 'Poppy'],['Space-Pirate', 1],['Blaster', 1],['Cybernetic', 1],['Vanguard', 2],['Star-Guardian', 1],,
1,['Graves', 'Leona', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Cybernetic', 1],['Vanguard', 1],['Mana-Reaver', 1],,
1,['Graves', 'Leona', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Cybernetic', 2],['Vanguard', 1],,,,
1,['Graves', 'Leona', 'Mordekaiser'],['Space-Pirate', 1],['Blaster', 1],['Cybernetic', 1],['Vanguard', 2],['Dark-Star', 1],,
1,['Graves', 'Malphite', 'Blitzcrank'],['Space-Pirate', 1],['Blaster', 1],['Rebel', 1],['Brawler', 2],['Chrono', 1],,
1,['Graves', 'Malphite', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Rebel', 1],['Brawler', 1],['Mana-Reaver', 1],,
1,['Graves', 'Malphite', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Rebel', 1],['Brawler', 1],['Cybernetic', 1],,
1,['Graves', 'Poppy', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Star-Guardian', 1],['Vanguard', 1],['Mana-Reaver', 1],,
1,['Graves', 'Poppy', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Star-Guardian', 1],['Vanguard', 1],['Cybernetic', 1],,
1,['Graves', 'Poppy', 'Mordekaiser'],['Space-Pirate', 1],['Blaster', 1],['Star-Guardian', 1],['Vanguard', 2],['Dark-Star', 1],,
1,['Graves', 'Twisted-Fate', 'Zoe'],['Space-Pirate', 1],['Blaster', 1],['Chrono', 1],['Sorcerer', 2],['Star-Guardian', 1],,
1,['Graves', 'Twisted-Fate', 'Ahri'],['Space-Pirate', 1],['Blaster', 1],['Chrono', 1],['Sorcerer', 2],['Star-Guardian', 1],,
1,['Graves', 'Twisted-Fate', 'Annie'],['Space-Pirate', 1],['Blaster', 1],['Chrono', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Graves', 'Twisted-Fate', 'Blitzcrank'],['Space-Pirate', 1],['Blaster', 1],['Chrono', 2],['Sorcerer', 1],['Brawler', 1],,
1,['Graves', 'Twisted-Fate', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Chrono', 1],['Sorcerer', 1],['Mana-Reaver', 1],,
1,['Graves', 'Twisted-Fate', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Chrono', 1],['Sorcerer', 1],['Cybernetic', 1],,
1,['Graves', 'Twisted-Fate', 'Shen'],['Space-Pirate', 1],['Blaster', 1],['Chrono', 2],['Sorcerer', 1],['Blademaster', 1],,
1,['Graves', 'Xayah', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Celestial', 1],['Blademaster', 1],['Mana-Reaver', 1],,
1,['Graves', 'Xayah', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Celestial', 1],['Blademaster', 1],['Cybernetic', 1],,
1,['Graves', 'Xayah', 'Rakan'],['Space-Pirate', 1],['Blaster', 1],['Celestial', 2],['Blademaster', 1],['Protector', 1],,
1,['Graves', 'Xayah', 'Xin-Zhao'],['Space-Pirate', 1],['Blaster', 1],['Celestial', 2],['Blademaster', 1],['Protector', 1],,
1,['Graves', 'Ziggs', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Rebel', 1],['Demolitionist', 1],['Mana-Reaver', 1],,
1,['Graves', 'Ziggs', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Rebel', 1],['Demolitionist', 1],['Cybernetic', 1],,
1,['Graves', 'Zoe', 'Ahri'],['Space-Pirate', 1],['Blaster', 1],['Star-Guardian', 2],['Sorcerer', 2],,,,
1,['Graves', 'Zoe', 'Annie'],['Space-Pirate', 1],['Blaster', 1],['Star-Guardian', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Graves', 'Zoe', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Star-Guardian', 1],['Sorcerer', 1],['Mana-Reaver', 1],,
1,['Graves', 'Zoe', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Star-Guardian', 1],['Sorcerer', 1],['Cybernetic', 1],,
1,['Graves', 'Ahri', 'Annie'],['Space-Pirate', 1],['Blaster', 1],['Star-Guardian', 1],['Sorcerer', 2],['Mech-Pilot', 1],,
1,['Graves', 'Ahri', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Star-Guardian', 1],['Sorcerer', 1],['Mana-Reaver', 1],,
1,['Graves', 'Ahri', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Star-Guardian', 1],['Sorcerer', 1],['Cybernetic', 1],,
1,['Graves', 'Annie', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Mech-Pilot', 1],['Sorcerer', 1],['Mana-Reaver', 1],,
1,['Graves', 'Annie', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Mech-Pilot', 1],['Sorcerer', 1],['Cybernetic', 1],,
1,['Graves', 'Blitzcrank', 'Darius'],['Space-Pirate', 2],['Blaster', 1],['Chrono', 1],['Brawler', 1],['Mana-Reaver', 1],,
1,['Graves', 'Blitzcrank', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Chrono', 1],['Brawler', 1],['Cybernetic', 1],,
1,['Graves', 'Blitzcrank', 'Shen'],['Space-Pirate', 1],['Blaster', 1],['Chrono', 2],['Brawler', 1],['Blademaster', 1],,
1,['Graves', 'Darius', 'KaiSa'],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],['Valkyrie', 1],['Infiltrator', 1],,
1,['Graves', 'Darius', 'Mordekaiser'],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],['Dark-Star', 1],['Vanguard', 1],,
1,['Graves', 'Darius', 'Rakan'],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],['Celestial', 1],['Protector', 1],,
1,['Graves', 'Darius', 'Shen'],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],['Chrono', 1],['Blademaster', 1],,
1,['Graves', 'Darius', 'Sona'],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],['Rebel', 1],['Mystic', 1],,
1,['Graves', 'Darius', 'Xin-Zhao'],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],['Celestial', 1],['Protector', 1],,
1,['Graves', 'Darius', 'Yasuo'],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],['Rebel', 1],['Blademaster', 1],,
1,['Graves', 'KaiSa', 'Lucian'],['Space-Pirate', 1],['Blaster', 2],['Valkyrie', 1],['Infiltrator', 1],['Cybernetic', 1],,
1,['Graves', 'Lucian', 'Mordekaiser'],['Space-Pirate', 1],['Blaster', 2],['Cybernetic', 1],['Dark-Star', 1],['Vanguard', 1],,
