['win', [[['10', 'C'], ['13', 'C']]], 'Flush']
['win', [[['07', 'C'], ['08', 'C']]], '2 Pairs']
['win', [[['03', 'C'], ['09', 'D']]], '2 Pairs']
['win', [[['02', 'S'], ['04', 'C']]], 'Full House']
['win', [[['10', 'S'], ['01', 'S']]], 'Pair']
['win', [[['05', 'H'], ['14', 'S']]], 'Straight']
['win', [[['08', 'S'], ['06', 'H']]], '2 Pairs']
['win', [[['04', 'D'], ['07', 'S']]], 'Straight']
['win', [[['10', 'C'], ['05', 'C']]], 'Straight']
['win', [[['08', 'H'], ['06', 'C']]], '2 Pairs']
['win', [[['07', 'S'], ['12', 'D']]], '2 Pairs']
['win', [[['08', 'D'], ['04', 'D']]], '2 Pairs']
['win', [[['01', 'D'], ['09', 'C']]], '3 of a Kind']
['win', [[['07', 'S'], ['11', 'D']]], 'Pair']
['win', [[['08', 'H'], ['03', 'H']]], '2 Pairs']
['win', [[['06', 'S'], ['09', 'H']]], '2 Pairs']
['win', [[['13', 'H'], ['13', 'S']]], 'Pair']
['win', [[['13', 'D'], ['13', 'C']]], '2 Pairs']
['draw', [[['09', 'H'], ['13', 'D']], [['11', 'H'], ['14', 'S']], [['08', 'H'], ['04', 'D']]], 'Straight']
['win', [[['02', 'S'], ['11', 'S']]], '2 Pairs']
['win', [[['01', 'D'], ['08', 'S']]], 'Flush']
['win', [[['07', 'C'], ['11', 'H']]], '3 of a Kind']
['win', [[['04', 'C'], ['13', 'H']]], '2 Pairs']
['win', [[['09', 'C'], ['08', 'S']]], 'Pair']
['win', [[['05', 'H'], ['03', 'C']]], '2 Pairs']
['win', [[['05', 'H'], ['12', 'H']]], '2 Pairs']
['win', [[['13', 'H'], ['06', 'H']]], 'Pair']
['win', [[['10', 'H'], ['05', 'S']]], 'Straight']
['win', [[['11', 'D'], ['08', 'H']]], 'Straight']
['win', [[['07', 'S'], ['08', 'S']]], '3 of a Kind']
['win', [[['06', 'C'], ['02', 'H']]], '2 Pairs']
['win', [[['04', 'D'], ['13', 'S']]], 'Pair']
['win', [[['11', 'H'], ['09', 'H']]], '3 of a Kind']
['win', [[['08', 'D'], ['08', 'S']]], '3 of a Kind']
['win', [[['13', 'D'], ['05', 'C']]], '2 Pairs']
['win', [[['06', 'H'], ['01', 'S']]], 'Pair']
['win', [[['06', 'H'], ['12', 'C']]], '2 Pairs']
['win', [[['07', 'S'], ['13', 'C']]], 'Pair']
['win', [[['13', 'D'], ['01', 'H']]], '2 Pairs']
['win', [[['09', 'H'], ['13', 'C']]], '3 of a Kind']
['draw', [[['04', 'D'], ['05', 'S']], [['04', 'C'], ['02', 'D']]], '2 Pairs']
['win', [[['04', 'H'], ['02', 'S']]], '2 Pairs']
['win', [[['11', 'D'], ['07', 'C']]], 'Straight']
['win', [[['10', 'D'], ['08', 'H']]], 'Straight']
['win', [[['03', 'D'], ['12', 'S']]], '3 of a Kind']
['win', [[['12', 'C'], ['06', 'C']]], 'Flush']
['win', [[['10', 'S'], ['12', 'S']]], 'Pair']
['win', [[['12', 'H'], ['02', 'H']]], '2 Pairs']
['win', [[['04', 'S'], ['07', 'H']]], 'Straight']
['win', [[['09', 'D'], ['09', 'H']]], '2 Pairs']
['win', [[['08', 'C'], ['12', 'H']]], '2 Pairs']
['win', [[['10', 'H'], ['09', 'S']]], 'Straight']
['win', [[['09', 'D'], ['08', 'H']]], 'Pair']
['win', [[['07', 'D'], ['07', 'C']]], '2 Pairs']
['win', [[['02', 'S'], ['05', 'S']]], '2 Pairs']
['win', [[['04', 'S'], ['08', 'D']]], 'Straight']
['win', [[['06', 'S'], ['08', 'S']]], 'Flush']
['win', [[['06', 'D'], ['13', 'H']]], '2 Pairs']
['win', [[['06', 'C'], ['03', 'H']]], '2 Pairs']
['win', [[['13', 'H'], ['12', 'D']]], 'Straight']
['win', [[['04', 'D'], ['08', 'C']]], 'Full House']
['win', [[['05', 'H'], ['06', 'H']]], 'Pair']
['win', [[['04', 'H'], ['01', 'H']]], '2 Pairs']
['win', [[['09', 'C'], ['11', 'C']]], 'Straight']
['win', [[['12', 'S'], ['06', 'C']]], 'Pair']
['win', [[['01', 'S'], ['05', 'S']]], '2 Pairs']
['win', [[['03', 'H'], ['05', 'C']]], 'Straight']
['win', [[['10', 'S'], ['04', 'C']]], '2 Pairs']
['win', [[['06', 'H'], ['13', 'D']]], '2 Pairs']
['win', [[['02', 'D'], ['11', 'D']]], '2 Pairs']
['win', [[['04', 'S'], ['02', 'S']]], '2 Pairs']
['win', [[['12', 'H'], ['04', 'S']]], '2 Pairs']
['win', [[['02', 'S'], ['13', 'C']]], 'Pair']
['win', [[['06', 'H'], ['09', 'S']]], '2 Pairs']
['win', [[['04', 'S'], ['11', 'C']]], '2 Pairs']
['win', [[['04', 'C'], ['07', 'H']]], 'Straight']
['win', [[['08', 'C'], ['06', 'C']]], 'Pair']
['win', [[['05', 'D'], ['06', 'S']]], '2 Pairs']
['win', [[['11', 'C'], ['03', 'H']]], '2 Pairs']
['win', [[['13', 'C'], ['06', 'D']]], '2 Pairs']
['win', [[['06', 'H'], ['11', 'D']]], '2 Pairs']
['win', [[['10', 'S'], ['10', 'C']]], '2 Pairs']
['win', [[['10', 'D'], ['03', 'D']]], 'Pair']
['win', [[['05', 'C'], ['04', 'C']]], 'Straight']
['win', [[['08', 'C'], ['03', 'C']]], 'Flush']
['win', [[['01', 'S'], ['11', 'S']]], '2 Pairs']
['win', [[['10', 'D'], ['12', 'C']]], '2 Pairs']
['win', [[['08', 'H'], ['05', 'C']]], 'Full House']
['win', [[['07', 'S'], ['06', 'S']]], 'Flush']
['win', [[['09', 'D'], ['10', 'D']]], '2 Pairs']
['win', [[['12', 'H'], ['08', 'D']]], 'Pair']
['win', [[['10', 'S'], ['06', 'H']]], '2 Pairs']
['win', [[['13', 'C'], ['09', 'H']]], 'Straight']
['win', [[['10', 'S'], ['03', 'C']]], '3 of a Kind']
['win', [[['02', 'D'], ['05', 'S']]], '2 Pairs']
['win', [[['04', 'S'], ['02', 'C']]], '3 of a Kind']
['win', [[['13', 'C'], ['06', 'D']]], 'Pair']
['win', [[['09', 'C'], ['09', 'D']]], 'Full House']
['win', [[['01', 'C'], ['05', 'C']]], 'Pair']
['win', [[['06', 'D'], ['12', 'S']]], '2 Pairs']
['win', [[['10', 'D'], ['12', 'S']]], 'Pair']
['win', [[['04', 'D'], ['13', 'H']]], '3 of a Kind']
['win', [[['04', 'D'], ['13', 'H']]], 'Pair']
['win', [[['07', 'H'], ['04', 'C']]], '2 Pairs']
['win', [[['10', 'D'], ['09', 'S']]], '2 Pairs']
['win', [[['11', 'H'], ['03', 'H']]], 'Pair']
['win', [[['13', 'D'], ['06', 'H']]], '3 of a Kind']
['draw', [[['03', 'D'], ['06', 'D']], [['08', 'S'], ['10', 'S']], [['12', 'S'], ['12', 'D']]], 'Straight']
['win', [[['06', 'D'], ['11', 'C']]], 'Pair']
['win', [[['06', 'C'], ['08', 'H']]], '2 Pairs']
['win', [[['09', 'S'], ['11', 'H']]], '2 Pairs']
['win', [[['04', 'H'], ['10', 'D']]], '2 Pairs']
['win', [[['04', 'H'], ['13', 'D']]], 'Straight']
['win', [[['07', 'C'], ['09', 'H']]], 'Straight']
['win', [[['06', 'S'], ['07', 'D']]], 'Pair']
['win', [[['09', 'S'], ['09', 'C']]], '3 of a Kind']
['win', [[['09', 'H'], ['05', 'H']]], '2 Pairs']
['win', [[['12', 'S'], ['11', 'H']]], '2 Pairs']
['win', [[['02', 'S'], ['09', 'S']]], 'Full House']
['win', [[['10', 'D'], ['12', 'D']]], '3 of a Kind']
['win', [[['11', 'C'], ['06', 'C']]], 'Straight']
['win', [[['09', 'C'], ['08', 'C']]], '2 Pairs']
['win', [[['10', 'H'], ['03', 'D']]], '2 Pairs']
['win', [[['02', 'H'], ['12', 'H']]], 'Flush']
['win', [[['10', 'S'], ['07', 'S']]], 'Flush']
['win', [[['06', 'S'], ['08', 'D']]], 'Straight']
['win', [[['06', 'C'], ['02', 'C']]], 'Full House']
['win', [[['13', 'C'], ['13', 'H']]], '3 of a Kind']
['win', [[['01', 'H'], ['13', 'H']]], 'Pair']
['win', [[['06', 'C'], ['13', 'S']]], 'Pair']
['win', [[['10', 'C'], ['12', 'H']]], 'High Card']
['win', [[['08', 'S'], ['07', 'H']]], 'Straight']
['win', [[['09', 'D'], ['13', 'C']]], 'Pair']
['win', [[['12', 'C'], ['12', 'S']]], 'Pair']
['win', [[['13', 'H'], ['13', 'S']]], '3 of a Kind']
['win', [[['09', 'H'], ['01', 'S']]], '2 Pairs']
['win', [[['06', 'H'], ['09', 'H']]], 'Pair']
['draw', [[['04', 'D'], ['08', 'D']], [['01', 'C'], ['04', 'C']], [['05', 'D'], ['11', 'S']]], 'Full House']
['win', [[['02', 'H'], ['02', 'C']]], '2 Pairs']
['win', [[['02', 'D'], ['12', 'C']]], 'Straight']
['win', [[['05', 'D'], ['05', 'C']]], 'Full House']
['win', [[['10', 'D'], ['12', 'H']]], 'Pair']
['win', [[['12', 'D'], ['11', 'S']]], '2 Pairs']
['win', [[['11', 'C'], ['09', 'H']]], '2 Pairs']
['win', [[['04', 'S'], ['07', 'C']]], '3 of a Kind']
['win', [[['09', 'H'], ['03', 'H']]], 'Flush']
['win', [[['13', 'S'], ['03', 'H']]], 'Pair']
['win', [[['04', 'S'], ['10', 'C']]], 'Pair']
['win', [[['06', 'D'], ['13', 'D']]], 'Pair']
['win', [[['03', 'H'], ['01', 'H']]], 'Flush']
['win', [[['04', 'D'], ['05', 'C']]], '3 of a Kind']
['win', [[['10', 'S'], ['02', 'C']]], 'Straight']
['win', [[['04', 'D'], ['02', 'D']]], '2 Pairs']
['win', [[['03', 'C'], ['01', 'C']]], 'Flush']
['win', [[['13', 'H'], ['06', 'C']]], '2 Pairs']
['win', [[['03', 'H'], ['04', 'S']]], 'Straight']
['win', [[['12', 'C'], ['01', 'C']]], 'Pair']
['win', [[['12', 'C'], ['10', 'C']]], '2 Pairs']
['win', [[['01', 'S'], ['11', 'S']]], 'Full House']
['win', [[['04', 'D'], ['11', 'D']]], '3 of a Kind']
['win', [[['09', 'S'], ['06', 'S']]], 'Flush']
['win', [[['11', 'D'], ['07', 'H']]], 'Straight']
['win', [[['08', 'D'], ['13', 'C']]], '2 Pairs']
['win', [[['07', 'S'], ['10', 'S']]], 'Straight']
['draw', [[['13', 'C'], ['04', 'H']], [['03', 'C'], ['13', 'D']]], '3 of a Kind']
['win', [[['04', 'S'], ['07', 'D']]], '2 Pairs']
['win', [[['10', 'D'], ['09', 'S']]], '3 of a Kind']
['win', [[['10', 'H'], ['04', 'H']]], '2 Pairs']
['win', [[['09', 'H'], ['04', 'H']]], '2 Pairs']
['win', [[['05', 'D'], ['13', 'C']]], '2 Pairs']
['win', [[['05', 'H'], ['07', 'H']]], 'Flush']
